City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Cidreira,BR,1600564000,-30.18,-50.21,56.79,70,100,11.45
Puerto Madryn,AR,1600563797,-42.77,-65.04,48.56,50,0,16.93
North Bend,US,1600563906,43.41,-124.22,66.99,68,1,11.41
Mar del Plata,AR,1600563772,-38.0,-57.56,45.0,66,0,6.93
Villarrica,PY,1600564000,-25.75,-56.43,64.42,41,0,10.51
Guerrero Negro,MX,1600564001,27.98,-114.06,81.5,49,20,18.84
Hobart,AU,1600564001,-42.88,147.33,66.99,77,75,8.05
Cherskiy,RU,1600564001,68.75,161.3,38.46,72,11,9.24
Bambous Virieux,MU,1600564001,-20.34,57.76,71.6,56,40,8.05
Port Alfred,ZA,1600564001,-33.59,26.89,60.44,82,0,10.33
Dikson,RU,1600564002,73.51,80.55,40.5,93,100,19.35
Fairbanks,US,1600563854,64.84,-147.72,50.0,71,75,9.17
Kodinsk,RU,1600564002,58.69,99.18,46.8,90,100,6.33
Saint-Philippe,RE,1600564002,-21.36,55.77,66.2,55,75,8.05
Honiara,SB,1600564002,-9.43,159.95,86.0,70,20,6.93
Avarua,CK,1600563734,-21.21,-159.78,80.6,83,54,12.75
Port Lincoln,AU,1600564003,-34.73,135.87,67.48,64,0,18.86
Clive,US,1600563968,41.6,-93.72,62.01,67,1,4.7
San Jose,US,1600563876,37.34,-121.89,81.0,44,75,13.87
Halifax,CA,1600564003,44.65,-63.57,51.01,72,0,1.01
Ponta do Sol,PT,1600564003,32.67,-17.1,69.8,77,40,4.7
Polunochnoye,RU,1600564004,60.87,60.42,44.26,96,100,2.15
Vila Franca do Campo,PT,1600564004,37.72,-25.43,68.0,77,20,9.17
Sitka,US,1600564001,57.05,-135.33,55.4,76,75,9.17
Clyde River,CA,1600564004,70.47,-68.59,28.4,92,1,4.7
Yambio,SS,1600564004,4.57,28.4,68.02,94,100,0.72
Kapaa,US,1600564005,22.08,-159.32,87.8,62,40,14.99
Iqaluit,CA,1600564005,63.75,-68.51,35.6,98,90,10.29
Coquimbo,CL,1600564005,-29.95,-71.34,53.6,93,0,2.24
Akhtubinsk,RU,1600564005,48.28,46.17,46.94,70,0,9.91
Changtu,CN,1600564005,42.78,124.1,58.66,77,0,1.95
São Félix do Xingu,BR,1600564006,-6.64,-51.99,79.21,57,6,1.81
Qasigiannguit,GL,1600564006,68.82,-51.19,32.0,98,100,8.05
Mountain Home,US,1600564006,43.13,-115.69,73.4,28,20,12.75
Íquira,CO,1600564067,2.65,-75.63,72.91,68,100,2.37
Gemena,CD,1600564067,3.25,19.77,69.22,99,100,1.95
Magán,ES,1600564067,39.97,-3.93,69.01,53,0,7.52
Chokurdakh,RU,1600564067,70.63,147.92,42.55,71,40,7.92
Mbuguni,TZ,1600564067,-3.57,36.95,66.2,82,75,3.38
Ugoofaaru,MV,1600564068,5.67,73.0,82.11,78,100,15.19
Ancud,CL,1600564068,-41.87,-73.82,45.0,95,0,11.01
Portland,US,1600563960,45.52,-122.68,71.6,53,75,8.05
Tazovsky,RU,1600564068,67.47,78.7,38.8,94,100,6.35
Bubaque,GW,1600564068,11.28,-15.83,80.37,83,100,9.42
Taoudenni,ML,1600564069,22.68,-3.98,94.96,27,2,7.23
Harper,LR,1600564069,4.38,-7.72,75.76,87,88,9.01
Provideniya,RU,1600564069,64.38,-173.3,43.59,71,95,1.45
Upernavik,GL,1600564069,72.79,-56.15,31.51,92,100,8.66
Kashan,IR,1600564069,33.98,51.44,69.37,24,0,3.4
Ayan,RU,1600564070,56.45,138.17,56.17,59,91,5.68
Ahipara,NZ,1600564070,-35.17,173.17,58.53,65,60,3.8
Hobyo,SO,1600564070,5.35,48.53,76.53,81,3,20.83
Solnechnyy,RU,1600564070,50.72,136.63,49.64,74,98,5.08
Hervey Bay,AU,1600564070,-25.3,152.85,82.99,57,75,2.24
Ostrovnoy,RU,1600564071,68.05,39.51,41.32,77,47,7.85
Tasiilaq,GL,1600564071,65.61,-37.64,37.4,47,0,10.29
Brandon,US,1600564071,27.94,-82.29,82.0,78,40,5.82
Arraial do Cabo,BR,1600564071,-22.97,-42.03,73.08,86,100,6.17
Padang,ID,1600564071,-0.95,100.35,80.98,70,92,3.6
Mossamedes,AO,1600564072,-15.2,12.15,60.8,84,94,0.83
Isangel,VU,1600564072,-19.55,169.27,80.6,57,75,13.87
Longyearbyen,SJ,1600564072,78.22,15.64,35.6,100,90,1.12
Namtsy,RU,1600564072,62.72,129.67,50.0,55,0,2.24
San Patricio,MX,1600564072,19.22,-104.7,86.0,84,75,23.04
Klaksvík,FO,1600564073,62.23,-6.59,50.0,93,100,13.87
Sainte-Claire,CA,1600564073,46.6,-70.86,46.99,83,8,1.52
Avera,US,1600564073,33.19,-82.53,64.4,77,1,5.82
Fulton,US,1600564073,33.77,-84.45,66.2,68,1,5.82
Dwārka,IN,1600564074,22.24,68.97,82.65,75,8,6.82
Bétaré Oya,CM,1600564074,5.6,14.08,67.42,98,100,3.67
Nouadhibou,MR,1600564074,20.93,-17.03,78.8,83,44,10.29
Beloha,MG,1600564074,-25.17,45.05,69.53,42,0,3.51
Lavrentiya,RU,1600564074,65.58,-171.0,42.93,77,100,6.76
Yellowknife,CA,1600564075,62.46,-114.35,64.4,45,20,5.82
Soc Trang,VN,1600564075,9.6,105.98,78.8,100,20,6.93
Padre Paraíso,BR,1600564075,-17.07,-41.48,63.5,58,0,2.98
Constitución,CL,1600564075,-35.33,-72.42,55.56,65,0,4.65
Nikolskoye,RU,1600564075,59.7,30.79,46.4,70,0,8.95
Hong Kong,HK,1600563980,22.29,114.16,84.99,81,21,1.01
Doctor Juan Manuel Frutos,PY,1600564076,-25.37,-55.8,66.4,56,0,10.18
Starobaltachevo,RU,1600564136,56.0,55.92,46.72,95,100,6.02
Sarangani,PH,1600564136,5.4,125.46,83.52,73,4,5.66
Vila,PT,1600564137,42.03,-8.16,60.01,94,100,1.99
Nísia Floresta,BR,1600564112,-6.09,-35.21,78.8,74,40,12.75
Rundu,NA,1600564137,-17.93,19.77,68.5,27,1,4.34
Ferrandina,IT,1600564137,40.5,16.45,68.0,93,5,3.36
Sambava,MG,1600564138,-14.27,50.17,67.62,81,72,10.45
Alofi,NU,1600563843,-19.06,-169.92,78.8,83,98,4.7
Nalbari,IN,1600564138,26.45,91.44,84.2,100,40,8.32
Ketchikan,US,1600563922,55.34,-131.65,62.6,59,1,4.7
Margate,GB,1600564138,51.38,1.39,64.0,84,0,3.0
Guangyuan,CN,1600564138,32.44,105.82,57.99,99,100,1.72
Vestmannaeyjar,IS,1600564139,63.44,-20.27,45.63,82,100,19.37
Corni,RO,1600564139,47.65,26.58,50.0,57,32,2.24
Kutum,SD,1600564139,14.2,24.67,72.54,70,100,12.59
Naze,JP,1600563891,28.37,129.48,82.4,78,75,18.34
Kyra,RU,1600564139,49.58,111.98,50.95,69,100,3.11
Puerto Ayora,EC,1600564140,-0.74,-90.35,65.8,90,97,9.66
Ribeira Grande,PT,1600564121,38.52,-28.7,70.03,80,80,21.99
Ellenabad,IN,1600563969,29.45,74.65,86.05,45,0,3.83
Poum,NC,1600564140,-20.23,164.02,73.2,68,100,15.97
New Norfolk,AU,1600564140,-42.78,147.06,64.99,75,91,1.01
Los Llanos de Aridane,ES,1600564140,28.66,-17.92,71.6,78,20,8.05
Ambon City,ID,1600564141,-3.7,128.18,82.63,74,1,3.38
Beringovskiy,RU,1600564141,63.05,179.32,41.81,75,88,9.82
Chui,UY,1600564141,-33.7,-53.46,42.49,68,0,6.26
Rūdbār,AF,1600564141,30.15,62.6,59.27,31,0,4.07
Souillac,MU,1600564142,-20.52,57.52,71.6,56,40,8.05
Hokitika,NZ,1600564142,-42.72,170.97,54.46,72,100,7.38
Viedma,AR,1600563998,-40.81,-63.0,47.91,52,0,18.72
Kinshasa,CD,1600564142,-4.32,15.32,75.2,78,65,4.7
Port Elizabeth,ZA,1600564142,-33.92,25.57,51.8,93,0,5.82
Japura,ID,1600564142,-0.32,102.35,74.59,94,100,3.13
Leh,IN,1600564143,34.17,77.58,44.85,54,0,4.68
Boende,CD,1600564143,-0.22,20.87,70.12,97,100,2.17
Pareora,NZ,1600564143,-44.49,171.21,57.99,72,0,5.01
Cayenne,GF,1600563876,4.93,-52.33,80.6,88,100,4.7
Pontianak,ID,1600564144,-0.03,109.33,77.92,89,91,1.34
Olinda,BR,1600564058,-8.01,-34.86,80.6,69,75,9.17
São João da Barra,BR,1600564144,-21.64,-41.05,74.07,80,100,6.35
Penzance,GB,1600564144,50.12,-5.54,63.0,77,77,12.75
Port Augusta,AU,1600564144,-32.5,137.77,70.0,64,0,18.34
Nacozari,MX,1600564144,25.34,-108.26,93.99,49,0,7.0
Ilulissat,GL,1600564145,69.22,-51.1,32.0,99,100,8.05
Chanute,US,1600564207,37.68,-95.46,69.8,56,1,3.36
Lesnoye,RU,1600564207,58.28,35.52,41.49,86,0,9.33
Barrow,US,1600564009,71.29,-156.79,33.8,80,90,8.05
São Filipe,CV,1600564208,14.9,-24.5,78.46,81,16,3.02
Leeds,GB,1600564208,53.8,-1.55,53.01,87,40,10.29
Katsuura,JP,1600564208,35.13,140.3,81.0,58,100,11.99
Butaritari,KI,1600564208,3.07,172.79,82.26,73,11,10.56
Tiksi,RU,1600564117,71.69,128.87,46.6,64,0,17.36
Tabas,IR,1600564209,33.6,56.92,71.6,19,0,6.93
Sorong,ID,1600564029,-0.88,131.25,82.76,75,0,2.01
General Roca,AR,1600564209,-39.03,-67.58,51.8,34,0,5.82
Mahébourg,MU,1600564209,-20.41,57.7,71.6,56,40,8.05
Salina,US,1600563966,38.84,-97.61,73.4,56,1,11.41
Belaya Gora,RU,1600564210,68.53,146.42,44.29,64,85,5.41
Zyryanka,RU,1600564210,65.75,150.85,41.47,72,93,13.49
Opuwo,NA,1600564210,-18.06,13.84,63.25,29,1,5.73
Kerema,PG,1600564210,-7.96,145.78,83.1,72,16,6.02
Omboué,GA,1600564211,-1.57,9.26,75.51,86,100,11.48
Necochea,AR,1600564136,-38.55,-58.74,37.99,44,0,5.01
Kudahuvadhoo,MV,1600564213,2.67,72.89,82.18,78,100,9.4
Sarakhs,IR,1600564235,36.54,61.16,57.2,33,0,2.24
Kachug,RU,1600564236,53.96,105.88,47.95,77,17,4.43
Pevek,RU,1600564236,69.7,170.31,36.91,97,100,12.53
Sola,VU,1600564154,-13.88,167.55,82.4,78,75,13.87
Saldanha,ZA,1600564236,-33.01,17.94,48.2,87,91,2.24
Kovūr,IN,1600564237,14.48,79.98,76.89,91,100,5.14
Fortuna,US,1600564087,40.6,-124.16,70.0,72,1,13.87
Talcahuano,CL,1600564237,-36.72,-73.12,60.8,44,0,8.05
Castro,BR,1600564007,-24.79,-50.01,64.06,47,100,4.7
Augusto Corrêa,BR,1600564238,-1.02,-46.63,77.86,82,20,6.13
Mayo,US,1600564078,38.89,-76.51,57.2,71,1,3.36
Tuatapere,NZ,1600564165,-46.13,167.68,54.0,65,2,8.01
Kaitangata,NZ,1600564238,-46.28,169.85,56.19,57,27,1.54
Mount Gambier,AU,1600564136,-37.83,140.77,60.8,77,90,12.75
Otane,NZ,1600564238,-39.88,176.63,59.0,55,13,3.53
Kontagora,NG,1600564086,10.4,5.47,75.2,94,100,5.77
Athabasca,CA,1600563991,54.72,-113.29,60.1,72,100,2.55
Saint-Gédéon,CA,1600564009,48.5,-71.77,37.4,73,40,5.82
Quesnel,CA,1600564239,53.0,-122.5,60.8,87,90,10.29
Te Anau,NZ,1600564205,-45.42,167.72,51.94,70,36,5.77
Nabire,ID,1600564240,-3.37,135.48,76.62,89,100,2.51
Vasai,IN,1600564192,19.47,72.8,80.6,94,75,2.21
Pahrump,US,1600564240,36.21,-115.98,97.0,8,0,1.99
Colesberg,ZA,1600564240,-30.72,25.1,53.01,35,0,3.62
Cururupu,BR,1600564143,-1.83,-44.87,74.64,92,0,3.67
Tateyama,JP,1600564241,34.98,139.87,81.0,78,75,9.17
Salta,AR,1600564217,-24.79,-65.41,59.0,22,57,8.05
Mount Isa,AU,1600564241,-20.73,139.5,71.6,100,75,3.36
Kahului,US,1600564301,20.89,-156.47,87.8,58,20,25.28
Saint-Pierre,RE,1600564207,-21.34,55.48,66.2,55,75,8.05
Sergeevka,KZ,1600564302,53.88,67.42,52.86,61,100,14.36
Alice Springs,AU,1600564093,-23.7,133.88,87.8,8,0,10.29
Kotapārh,IN,1600564302,19.15,82.35,75.22,88,99,1.07
Cape Town,ZA,1600564125,-33.93,18.42,54.0,87,75,5.82
Laas,IT,1600564302,46.62,10.7,59.0,100,90,4.7
Macklin,CA,1600564303,52.33,-109.93,68.04,48,100,3.71
Pacific Grove,US,1600564303,36.62,-121.92,63.0,82,75,8.05
Shingū,JP,1600564303,33.73,135.98,64.4,93,75,8.05
Touho,NC,1600564303,-20.78,165.23,71.78,74,100,18.52
Andenes,NO,1600564303,69.31,16.12,46.4,87,100,13.87
Paita,PE,1600564304,-5.09,-81.11,62.85,87,86,11.72
Havelock,US,1600564304,34.88,-76.9,64.99,63,1,18.34
Hasaki,JP,1600564304,35.73,140.83,75.0,73,75,8.05
Manche,FR,1600564304,49.0,-1.17,60.8,100,3,4.7
Yasothon,TH,1600564304,15.75,104.13,80.01,100,75,8.05
Moroto,UG,1600564305,2.53,34.67,66.33,76,3,4.27
Ruidoso,US,1600564199,33.33,-105.67,66.2,32,1,16.11
Laguna,US,1600564305,38.42,-121.42,84.99,32,1,9.17
Togur,RU,1600564305,58.36,82.83,48.58,95,100,7.74
Vestmanna,FO,1600564305,62.16,-7.17,50.0,93,100,13.87
Bethel,US,1600564210,41.37,-73.41,50.0,65,1,5.41
Berbera,SO,1600564306,10.44,45.01,89.26,60,0,1.59
Dingle,PH,1600564115,11.0,122.67,84.94,77,12,6.11
Ulaangom,MN,1600564306,49.98,92.07,50.68,56,0,2.46
Bilma,NE,1600564306,18.69,12.92,86.27,14,0,2.28
Virginia Beach,US,1600563909,36.85,-75.98,64.0,72,100,1.99
Hualmay,PE,1600564307,-11.1,-77.61,61.09,85,10,6.11
Hithadhoo,MV,1600564307,-0.6,73.08,82.29,78,0,13.56
Olenegorsk,RU,1600564307,68.15,33.3,39.27,92,100,10.09
Chicama,PE,1600564307,-7.84,-79.15,61.75,83,20,4.47
Yanam,IN,1600564307,16.73,82.22,80.6,88,75,5.82
Gazli,UZ,1600564308,40.13,63.45,50.36,48,0,3.96
Stornoway,GB,1600564269,58.21,-6.39,54.0,100,90,1.12
Kieta,PG,1600564232,-6.22,155.63,85.82,62,50,3.94
Grindavik,IS,1600564308,63.84,-22.43,46.4,75,75,24.16
Bethalto,US,1600564308,38.91,-90.04,57.99,71,0,6.08
Ust'-Kut,RU,1600564308,56.79,105.77,45.25,85,99,4.16
Berlevåg,NO,1600564309,70.86,29.09,41.36,68,100,11.27
Beidao,CN,1600564309,34.57,105.89,62.15,74,100,2.53
Kumul,CN,1600564309,42.8,93.45,62.13,30,0,6.82
Pimentel,PE,1600564309,-6.84,-79.93,60.78,89,16,11.48
Cap Malheureux,MU,1600564309,-19.98,57.61,69.01,75,82,4.0
Baiyin,CN,1600564310,36.56,104.21,61.0,82,75,4.47
Pedernales,DO,1600564310,18.04,-71.74,82.2,71,12,2.26
Pangnirtung,CA,1600564310,66.15,-65.71,30.79,91,94,1.81
Aksu,CN,1600564370,41.12,80.26,58.55,56,100,27.51
Pitimbu,BR,1600564370,-7.47,-34.81,77.0,83,40,8.05
Burnie,AU,1600564241,-41.07,145.92,57.99,89,100,5.01
Privolzhye,RU,1600564371,52.86,48.6,43.97,80,77,13.11
Palmerston North,NZ,1600564243,-40.35,175.62,62.01,55,1,3.0
Kavaratti,IN,1600564371,10.57,72.64,81.79,80,100,24.32
Lagoa,PT,1600564371,39.05,-27.98,69.89,82,0,22.84
San Andrés,CO,1600564371,12.58,-81.7,80.6,94,90,3.36
Norman Wells,CA,1600564372,65.28,-126.83,57.2,58,75,5.82
Puerto Escondido,MX,1600564372,15.85,-97.07,84.2,66,75,3.6
Poronaysk,RU,1600564144,49.22,143.12,54.68,67,99,6.78
Kulhudhuffushi,MV,1600564372,6.62,73.07,82.42,78,100,15.82
The Valley,AI,1600564372,18.22,-63.06,84.2,74,20,3.36
Ayagoz,KZ,1600564372,47.97,80.44,47.34,56,0,8.79
Black Diamond,US,1600564373,47.31,-122.0,70.0,79,49,5.23
Catherinas Lust,GY,1600564373,6.4,-57.6,81.23,82,78,12.19
Goderich,CA,1600564214,43.75,-81.72,59.0,58,0,9.89
Muli,MV,1600564373,2.92,73.57,82.06,78,100,9.51
Port Keats,AU,1600564373,-14.25,129.55,90.64,53,69,3.74
Northam,GB,1600564374,51.03,-4.22,62.01,82,61,11.01
Half Moon Bay,US,1600564374,37.46,-122.43,80.01,82,1,14.99
Henties Bay,NA,1600564217,-22.12,14.28,54.0,91,79,7.02
Quatre Cocos,MU,1600564374,-20.21,57.76,71.6,73,40,8.05
Wisconsin Rapids,US,1600564374,44.38,-89.82,60.8,55,1,5.82
Bac Lieu,VN,1600564375,9.29,105.72,84.13,74,100,8.01
Abu Samrah,SY,1600564375,35.3,37.18,64.72,55,26,2.26
Dinghaicun,CN,1600564375,26.28,119.79,78.8,83,75,13.42
Murchison,NZ,1600564375,-41.8,172.33,56.05,54,100,2.44
Faanui,PF,1600564376,-16.48,-151.75,78.4,79,18,19.6
Vice,PE,1600564376,-5.42,-80.78,64.96,79,78,14.63
Ginir,ET,1600564376,7.13,40.7,60.48,85,60,7.7
Muti,PH,1600564376,7.28,122.28,84.2,83,40,1.12
Whitehorse,CA,1600564265,60.72,-135.05,55.4,35,40,3.36
Honningsvåg,NO,1600564377,70.98,25.97,42.17,84,100,14.54
Soyo,AO,1600564377,-6.13,12.37,72.84,84,100,8.61
Nanortalik,GL,1600564377,60.14,-45.24,37.0,82,3,15.48
Praia da Vitória,PT,1600564377,38.73,-27.07,68.0,88,75,12.06
Tual,ID,1600564377,-5.67,132.75,81.07,82,93,11.34
Voh,NC,1600564378,-20.97,164.7,78.22,48,100,8.28
Novoul'yanovsk,RU,1600564378,54.15,48.39,48.2,81,75,15.66
Pascagoula,US,1600564241,30.37,-88.56,73.4,88,75,6.93
Santa Maria,BR,1600564378,-29.68,-53.81,51.8,81,12,3.36
Vetapālem,IN,1600564379,15.78,80.32,77.11,87,100,10.11
Scarborough,GB,1600564379,54.28,-0.4,55.99,89,100,1.99
Key Largo,US,1600564102,25.09,-80.45,84.99,1,0,8.1
Patacamaya,BO,1600564379,-17.23,-67.92,48.02,65,3,8.95
Fort Nelson,CA,1600564439,58.81,-122.7,66.2,52,75,4.7
West Wendover,US,1600564440,40.74,-114.07,77.0,17,1,10.29
Ankang,CN,1600564440,32.68,109.02,63.66,85,100,2.77
Saravan,AM,1600564440,39.72,45.65,66.2,45,40,4.7
Lata,PT,1600564225,40.16,-8.33,66.99,93,62,1.01
Roald,NO,1600564175,62.58,6.13,55.4,71,100,11.41
Shimoda,JP,1600564440,34.67,138.95,75.2,78,75,9.17
Chunoyar,RU,1600564441,57.45,97.32,45.88,88,100,7.74
Antsohihy,MG,1600564441,-14.88,47.99,66.18,73,0,5.99
Esperance,AU,1600564197,-33.87,121.9,50.0,71,75,27.51
Yamada,JP,1600564441,39.47,141.95,73.45,58,100,4.34
Dzilam González,MX,1600564441,21.28,-88.93,81.0,81,5,5.12
Bulgan,MN,1600564238,48.81,103.53,45.05,62,0,4.68
Newport,GB,1600564442,51.59,-3.0,59.0,88,89,1.99
Mumford,GH,1600564442,5.26,-0.76,75.2,90,100,13.47
Lábrea,BR,1600564442,-7.26,-64.8,84.67,50,11,2.46
Aksarka,RU,1600564219,66.56,67.8,42.3,90,100,11.23
Monrovia,LR,1600564442,6.3,-10.8,76.64,89,100,10.02
Hwange,ZW,1600564443,-18.37,26.5,66.94,39,0,2.53
Adet,ET,1600564443,11.26,37.49,55.36,81,0,3.67
Badarpur,IN,1600564443,24.9,92.6,81.79,73,70,4.74
Natal,BR,1600564203,-5.79,-35.21,78.8,74,40,12.75
Naica,MX,1600564443,27.85,-105.48,73.11,48,57,8.37
Lensk,RU,1600564444,60.73,114.93,50.09,61,100,3.94
Mehamn,NO,1600564444,71.04,27.85,40.32,71,100,8.25
Ratzeburg,DE,1600564444,53.7,10.77,48.99,83,76,6.42
Betsiamites,CA,1600564444,48.94,-68.65,42.8,93,90,4.7
Lakatoro,VU,1600564445,-16.1,167.42,78.8,65,75,13.87
Pisco,PE,1600564209,-13.7,-76.22,62.6,82,85,12.75
Mayskiy,RU,1600564445,47.69,40.1,44.6,75,0,6.71
Maxixe,MZ,1600564445,-23.86,35.35,68.77,88,0,1.48
Anadyr,RU,1600564445,64.75,177.48,44.6,67,40,2.24
Jinchang,CN,1600564445,38.5,102.17,63.1,55,93,8.95
Dhidhdhoo,MV,1600564446,6.88,73.1,82.26,79,100,16.53
Fukuchiyama,JP,1600564181,35.3,135.12,66.2,72,40,4.7
Itarema,BR,1600564446,-2.92,-39.92,77.18,82,4,14.09
Cachoeira do Sul,BR,1600564277,-30.04,-52.89,50.23,80,36,5.75
Wewak,PG,1600564446,-3.55,143.63,82.44,76,83,6.82
College,US,1600564186,64.86,-147.8,51.8,62,75,5.82
Miramar,US,1600564447,25.99,-80.23,84.2,94,90,4.7
Barcelos,PT,1600564447,41.54,-8.62,66.2,100,90,12.75
Matagami,CA,1600564219,49.75,-77.63,33.8,88,1,2.48
Balezino,RU,1600564447,57.98,53.01,37.15,94,100,7.14
Puerto Colombia,CO,1600564209,10.99,-74.95,84.2,79,40,8.05
Americus,US,1600564447,32.07,-84.23,69.8,73,40,8.05
Biak,ID,1600564230,-0.91,122.88,82.92,68,5,4.27
Guilin,CN,1600564448,25.28,110.29,71.6,94,90,4.85
San Cristobal,VE,1600564448,7.77,-72.22,84.2,70,40,6.93
Monte Santo de Minas,BR,1600564508,-21.19,-46.98,73.09,48,100,2.64
Ambanja,MG,1600564508,-13.68,48.45,70.39,84,27,2.26
Camopi,GF,1600564509,3.17,-52.32,75.88,84,93,5.32
Niamtougou,TG,1600564509,9.77,1.11,71.6,100,20,3.96
Mazara del Vallo,IT,1600564509,37.66,12.59,75.2,88,100,2.24
Gornopravdinsk,RU,1600564509,60.05,69.9,44.91,92,100,8.9
Hamilton,US,1600564231,39.18,-84.53,60.8,62,1,7.14
Bilibino,RU,1600564510,68.05,166.44,34.47,81,96,4.9
Palmer,US,1600564510,42.16,-72.33,48.0,75,1,5.82
Dana Point,US,1600564338,33.47,-117.7,84.0,68,0,5.32
Shenjiamen,CN,1600564510,29.96,122.3,73.09,68,100,12.28
Arrondissement de Narbonne,FR,1600564511,43.08,2.83,64.0,79,1,16.78
Mitsamiouli,KM,1600564511,-11.38,43.28,74.91,78,0,1.45
Matara,LK,1600564511,5.95,80.54,78.46,86,100,13.69
Hambantota,LK,1600564511,6.12,81.12,80.26,79,100,20.45
Talnakh,RU,1600564230,69.49,88.4,44.6,93,19,6.71
Mapastepec,MX,1600564512,15.43,-92.9,79.86,79,100,1.14
Vitim,RU,1600564512,59.45,112.56,46.99,91,100,3.51
Uyuni,BO,1600564512,-20.46,-66.83,49.35,45,0,4.47
Beni,CD,1600564513,0.5,29.47,62.19,97,29,1.86
Tongliao,CN,1600564339,43.61,122.27,58.23,63,0,6.2
Pulaski,US,1600564513,34.77,-92.3,68.0,56,1,9.17
Cuxhaven,DE,1600564513,53.87,8.69,48.2,87,100,4.7
Mezen',RU,1600564513,65.85,44.24,33.3,93,37,5.57
El Salvador,SV,1600564514,13.83,-88.92,82.4,83,40,2.24
Okha,RU,1600564514,53.57,142.95,55.49,55,99,5.46
